"index","language","sentimentPolarity","sentimentLabel","usedChars"
"69957","cs","1","positive","251"
"8373","cs","-1","negative","320"
"40570","cs","1","positive","100"
"52212","cs","0","neutral","100"
"28311","cs","0","neutral","100"
"60387","cs","1","positive","100"
"45719","cs","1","positive","100"
"57149","cs","1","positive","100"
"46385","cs","1","positive","145"
"26608","cs","-1","negative","100"
"61604","cs","0","neutral","100"
"7917","cs","0","neutral","103"
"6444","cs","0","neutral","100"
"53874","cs","1","positive","100"
"67681","cs","1","positive","294"
"65500","cs","0","neutral","100"
"47539","cs","0","neutral","100"
"6602","cs","0","neutral","461"
"49820","cs","0","neutral","100"
"39350","cs","1","positive","100"
"64041","cs","0","neutral","563"
"52571","cs","1","positive","100"
"13600","cs","1","positive","435"
"65841","cs","0","neutral","100"
"43074","cs","0","neutral","268"
"36111","cs","0","neutral","100"
"61425","cs","0","neutral","100"
"7243","cs","0","neutral","100"
"68859","cs","0","neutral","100"
"1591","cs","0","neutral","100"
"26177","cs","0","neutral","100"
"39060","cs","1","positive","100"
"6433","cs","0","neutral","100"
"65674","cs","0","neutral","100"
"48095","cs","1","positive","100"
"44961","cs","0","neutral","100"
"55973","cs","1","positive","100"
"62867","cs","1","positive","100"
"64638","cs","1","positive","112"
"17489","cs","0","neutral","100"
"32497","cs","0","neutral","100"
"54414","cs","1","positive","100"
"67571","cs","0","neutral","100"
"243","cs","0","neutral","100"
"54107","cs","1","positive","195"
"18494","cs","0","neutral","100"
"9636","cs","0","neutral","100"
"37804","cs","1","positive","100"
"56573","cs","0","neutral","100"
"52364","cs","1","positive","100"
"46957","cs","1","positive","116"
"69185","cs","0","neutral","100"
"56515","cs","0","neutral","100"
"7876","cs","0","neutral","100"
"13711","cs","1","positive","100"
"15426","cs","0","neutral","100"
"59562","cs","1","positive","100"
"68378","cs","1","positive","100"
"20340","cs","1","positive","100"
"38287","cs","-1","negative","100"
"15871","cs","0","neutral","100"
"12910","cs","0","neutral","100"
"11724","cs","1","positive","100"
"37290","cs","0","neutral","100"
"56179","cs","0","neutral","100"
"55260","cs","0","neutral","100"
"58641","cs","1","positive","100"
"26673","cs","0","neutral","100"
"26104","cs","1","positive","108"
"60858","cs","0","neutral","213"
"1654","cs","1","positive","128"
"15406","cs","0","neutral","100"
"38726","cs","1","positive","100"
"27255","cs","0","neutral","100"
"36983","cs","1","positive","118"
"12529","cs","0","neutral","100"
"28826","cs","1","positive","127"
"31216","cs","1","positive","100"
"70738","cs","1","positive","100"
"41380","cs","0","neutral","100"
"59394","cs","1","positive","100"
"64659","cs","0","neutral","100"
"28829","cs","1","positive","139"
"43623","cs","-1","negative","100"
"50235","cs","1","positive","100"
